date,exchange,year
2007-08-15,XMIL,2007
2007-12-24,XMIL,2007
2007-12-25,XMIL,2007
2007-12-26,XMIL,2007
2007-12-31,XMIL,2007
2008-01-01,XMIL,2008
2008-03-21,XMIL,2008
2008-03-24,XMIL,2008
2008-05-01,XMIL,2008
2008-08-15,XMIL,2008
2008-12-24,XMIL,2008
2008-12-25,XMIL,2008
2008-12-26,XMIL,2008
2008-12-31,XMIL,2008
2009-01-01,XMIL,2009
2009-04-10,XMIL,2009
2009-04-13,XMIL,2009
2009-05-01,XMIL,2009
2009-12-24,XMIL,2009
2009-12-25,XMIL,2009
2009-12-31,XMIL,2009
2010-01-01,XMIL,2010
2010-04-02,XMIL,2010
2010-04-05,XMIL,2010
2010-12-24,XMIL,2010
2010-12-31,XMIL,2010
2011-04-22,XMIL,2011
2011-04-25,XMIL,2011
2011-08-15,XMIL,2011
2011-12-26,XMIL,2011
2012-04-06,XMIL,2012
2012-04-09,XMIL,2012
2012-05-01,XMIL,2012
2012-08-15,XMIL,2012
2012-12-24,XMIL,2012
2012-12-25,XMIL,2012
2012-12-26,XMIL,2012
2012-12-31,XMIL,2012
2013-01-01,XMIL,2013
2013-03-29,XMIL,2013
2013-04-01,XMIL,2013
2013-05-01,XMIL,2013
2013-08-15,XMIL,2013
2013-12-24,XMIL,2013
2013-12-25,XMIL,2013
2013-12-26,XMIL,2013
2013-12-31,XMIL,2013
2014-01-01,XMIL,2014
2014-04-18,XMIL,2014
2014-04-21,XMIL,2014
2014-05-01,XMIL,2014
2014-08-15,XMIL,2014
2014-12-24,XMIL,2014
2014-12-25,XMIL,2014
2014-12-26,XMIL,2014
2014-12-31,XMIL,2014
2015-01-01,XMIL,2015
2015-04-03,XMIL,2015
2015-04-06,XMIL,2015
2015-05-01,XMIL,2015
2015-12-24,XMIL,2015
2015-12-25,XMIL,2015
2015-12-31,XMIL,2015
2016-01-01,XMIL,2016
2016-03-25,XMIL,2016
2016-03-28,XMIL,2016
2016-08-15,XMIL,2016
2016-12-26,XMIL,2016
2017-04-14,XMIL,2017
2017-04-17,XMIL,2017
2017-05-01,XMIL,2017
2017-08-15,XMIL,2017
2017-12-25,XMIL,2017
2017-12-26,XMIL,2017
2018-01-01,XMIL,2018
2018-03-30,XMIL,2018
2018-04-02,XMIL,2018
2018-05-01,XMIL,2018
2018-08-15,XMIL,2018
2018-12-24,XMIL,2018
2018-12-25,XMIL,2018
2018-12-26,XMIL,2018
2018-12-31,XMIL,2018
2019-01-01,XMIL,2019
2019-04-19,XMIL,2019
2019-04-22,XMIL,2019
2019-05-01,XMIL,2019
2019-08-15,XMIL,2019
2019-12-24,XMIL,2019
2019-12-25,XMIL,2019
2019-12-26,XMIL,2019
2019-12-31,XMIL,2019
2020-01-01,XMIL,2020
2020-04-10,XMIL,2020
2020-04-13,XMIL,2020
2020-05-01,XMIL,2020
2020-12-24,XMIL,2020
2020-12-25,XMIL,2020
2020-12-31,XMIL,2020
2021-01-01,XMIL,2021
2021-04-02,XMIL,2021
2021-04-05,XMIL,2021
2021-12-24,XMIL,2021
2021-12-31,XMIL,2021
2022-04-15,XMIL,2022
2022-04-18,XMIL,2022
2022-08-15,XMIL,2022
2022-12-26,XMIL,2022
2023-04-07,XMIL,2023
2023-04-10,XMIL,2023
2023-05-01,XMIL,2023
2023-08-15,XMIL,2023
2023-12-25,XMIL,2023
